Name,Symbol,ContractAddress,ContractDecimal,TotalSupply,PegOnBC,PegOnBSC
Aave Token,AAVE-8FA,0xfb6115445Bff7b52FeB98650C87f44907E58f802,18,50000000000000,39999999926019,739810000000000
CardanoBEP2,ADA-9F4,0x3EE2200Efb3400fAbB9AacF31297cBdD1d435D47,18,37230000000000000,17637561831894048,23624396674347970047010196
AlpacaToken,ALPACA-405,0x8F0528cE5eF7B51152A59745bEfDD91D97091d2F,18,12641791941798031,12641779187591151,127542068800000000000
ANKR,ANKR-E97,0xf307910A4c7bbc79691fD374889b36d8531B08e3,18,1000000000000000000,907537307282615213,924626927173847870230682872
Aeron,ARN-71B,0xBA5F11b16B155792Cf3B2E6880E8706859A8AEB6,18,877285825316010,292075052163,8769937502638470000000000
ATOMBEP2,ATOM-596,0x0Eb3a705fc54725037CC9e008bDede697f62F335,18,112000000000000,99143962041347,8566772302410777866153
Travala.com Token,AVA-645,0x13616F44Ba82D63c8C0DC3Ff843D36a8ec1c05a9,18,558242685106140,243189670095185,58796819299048150000000000
BakeryToken,BAKE-5E0,0xE02dF9e3e622DeBdD69fb838bB799E3F168902c5,18,56155462842614181,56053829223537647,1486336190765340040564959
BandProtocolBEP2,BAND-34B,0xAD6cAEb32CD2c308980a548bD0Bc5AA4306c6c18,18,220000000000000,166225502194811,537744978051890006580347
BasicAttentionToken,BAT-07A,0x101d82428437127bF1608F699CD651e6Abf9766E,18,2030000000000000,1283640697205074,12163593027949260000000000
BCH BEP2,BCH-1FD,0x8fF795a6F4D97E7887C79beA79aba5cc76444aDf,18,5500000000000,3587933156654,9120668433460000001116
Bitcoin Cash ABC,BCHA-959,0xD475c9c934DCD6d5f1cAC530585aa5ba14185b92,18,4178700000000,4076780111513,4232356314850000000000
Bitcoin Cash ABC,BCHA-A6A,0xDd3c817354E3855ef2B52D15ad2244793c50385A,18,4500000000000,2249660508000,22503394920000000000000
BellaProtocol,BEL-D85,0x8443f091997f06a61670B735ED92734F5628692F,18,300000000000000,183562217539061,1164377824609390000000000
BELT Token,BELT-5A3,0xE0e514c71282b6f4e823703a39374Cf58dc3eA4f,18,361893453491999,361887429493737,60239982620000000000
Binance Beacon ETH,BETH-654,0x250632378E573c6Be1AC2f97Fcdf00515d0Aa91B,18,10000000000000000,9999997631900912,23680990880000000000
BIDR BEP2,BIDR-0E9,0x9A2f5556e9A637e8fBcE886d8e3cf8b316a1D8a2,18,393932357694000000,275867161720985715,87241487160890142850000000000
beefy.finance,BIFI-290,0xCa3F508B8e4Dd382eE878A314789373D80A5190A,18,8000000000000,7980556071224,194439287760000027475
Binance Chain Native Token,BNB,0x0000000000000000000000000000000000000000,18,14893023217301230,2258070246366835,151832693405533418201832094
Bitcoin BEP2,BTCB-1DE,0x7130d2A12B9BCbFAe4f2634d864A1Ee1Ce3Ead9c,18,1380100000000,253807910294,6462921031042427254793
StandardBTCHashrateToken,BTCST-C2E,0x78650B139471520656b9E7aA7A5e9276814a38e9,17,1500000000000000,1499802147071275,197852928725000000000
Bunny Token,BUNNY-2B9,0xC9849E6fdB743d08fAeE3E34dd2D1bc69EA11a51,18,1033679973082197,1033473626803792,2063462784050000000000
Burger Swap,BURGER-33A,0xAe9269f27437f0fcBC232d39Ec814844a51d6b8f,18,1228476953736919,1225549297349995,29276563869240016387644
Binance USD,BUSD-BD1,0xe9e7CEA3DedcA5984780Bafc599bD69ADd087D56,18,7273841053221126,5495861618687057,66041467738059956376006101
BXD Token,BXD-745,0xcae74533e8605a87564982c03f63Ce44177f1277,18,210000000000000000,199500000000000000,105000000000000000000000000
PancakeSwap Token,CAKE-435,0x0E09FaBB73Bd3Ade0a17ECC321fD13a19e81cE82,18,20335488151716902,20309375511849485,261126572418345725488443
CanYaCoin,CAN-677,0x007EA5C0Ea75a8DF45D288a4debdD5bb633F9e56,18,9582700000000000,8011719475620059,15709805243799410000000000
CASHAA,CAS-167,0x780207B8C0Fdc32cF60E957415bFa1f2d4d9718c,18,100000000000000000,91705450435569617,82945495644303830000000000
Cubiex,CBIX-3C9,0x34681C1035F97E1eDcccec5f142e02FF81a3A230,18,15000000000000000,13293016889711720,17069831102882800000000000
CryptoBonusMiles,CBM-4B2,0x61a97C4914C43f8BD98D01a99418E826C80AfAdC,18,500000000000000000,96056160238094486,4039438397619055140000000000
CocosTokenV2,COCOS-CED,0xAb301DaE71f5B386C566f484e636Aee60318F12F,18,500000000000000,497980443988272,20195560117280000000000
CompoundCoin,COMP-DEE,0x52CE071Bd9b1C4B00A0b92D298c512478CaD67e8,18,2000000000000,1262584351638,7374156483620000000000
Contentos,COS-2E4,0x96Dd399F9c3AFda1F194182F71600F1B65946501,18,302047490360000000,116322631939984814,4735918375200151860000000000
CertiK Token,CTK-EB8,0xA8c2B8eec3d368C0253ad3dae65a5F2BBB89c929,6,852798270591300,852735166179800,631044115
DaiBEP2,DAI-D75,0x1AF3F329e8BE154074D8769D1FFa4eE058B1DBc3,18,1900000000000000,1700002562732833,2843600127949865335
DARC Token,DARC-087,0x8ebC361536094fD5B4FFB8521E31900614C9F55D,18,100000000000000000,67654567248952133,323454327510478670000000000
DeFi For You.,DFY-EA0,0xD98560689C6e748DC37bc410B4d3096B1aA3D8C2,18,100000000000000000,99726244473674373,2737555263256270000000000
Dogecoin,DOGE-B67,0xbA2aE424d960c26247Dd6c32edC70B295c744C43,8,155750031400000000,151076068839891662,48923938730265803
DOS Network Token,DOS-120,0xDc0f0a5719c39764b011eDd02811BD228296887C,18,100000000000000000,2126253254333296,978737467456667040000000000
PolkadotBEP2,DOT-64C,0x7083609fCE4d1d8Dc0C979AAb8c869Ea2C873402,18,750000000000000,657044343276865,929556569231350001190651
Elrond,EGLD-745,0xbF7c81FFF98BbE61B40Ed186e4AfD6DDd01337fe,18,60000000000000,59978863319229,211366807710000000000
ELFToken,ELF-D72,0xa3f020a5C92e15be13CAF0Ee5C95cF79585EeCC9,18,250000000000000,156394354009631,1436056459903690000000000
EOS BEP2,EOS-CDD,0x56b6fB708fC5732DEC1Afc8D8556423A2EDcCbD6,18,1159000000000000,945841790893144,1181582091068560009881599
Ellipsis,EPS-458,0xA7f552078dcC247C2684336020c03648500C6d9F,18,36440478183342577,36440432219342577,459640000000000000000
EQUAL,EQL-586,0x5C7e71f46e49Cf816f9863461EEB36e3bc8E3B51,18,67525906000000000,15155338130464773,523705678695352270000000000
Ethereum Classic,ETC-758,0x3d6545b08693daE087E957cb1180ee38B9e3c25E,18,105000000000000,80507788620514,194922113794860000000000
ETH BEP2,ETH-1C9,0x2170Ed0880ac9A755fd29B2688956BD959F933F8,18,18500000000000,15170793643377,53292104137071276713588
Ethereum PoW,ETHW-478,0x302cD8973bE5CA2334B4ff7e7b01BA41455559b3,18,20914200000000,16363923362344,45502766376560000000000
Filecoin,FIL-E2C,0x0D8Ce2A99Bb6e3B7Db580eD848240e4a0F9aE153,18,31000000000000,22397914640295,126020853597050000000000
Refinable,FINE-74B,0x4e6415a5727ea08aAE4580057187923aeC331227,18,50000000000000000,49999986387743379,136122566210022222220
Givly Coin,GIV-94E,0xE49b84771470A87F4D9544685ea0F0517933B2B4,8,40000000000000000,1787023351964356,98212976748035644
Injective Protocol,INJ-FAE,0xa2B726B1145A4773F68593CF171187d8EBe4d495,18,650000000000000,384609172410892,3653908275891080000000000
IoTeXNetwork,IOTX-0ED,0x9678E42ceBEb63F23197D726B29b1CB20d0064E5,18,550000000000000,299989031599079,109684009210000000000
IRIS Network,IRIS-D88,0x05C50a62b0b87bE1fFB1Cf3b77d9eDBa834ef6f7,18,5000000000000000,4492334111114286,5076658888857140000000000
LINKBEP2,LINK-AAD,0xF8A0BF9cF54Bb92F17374d9e9A321E6a111a51bD,18,250000000000000,161324123055756,386758769442440000726978
LTC BEP2,LTC-F07,0x4338665CBB7B2485A8855A139b75D5e34AB0DB94,18,23000000000000,9885382832779,111146201672210000076410
LTO Network,LTO-BDF,0x857B222Fc79e1cBBf8Ca5f78CB133d1b7CF34BBd,18,50000000000000000,1862894066222852,481371059337771480000000000
Measurable Data Token,MDT-14A,0x668DB7aa38eaC6B40c9D13dBE61361DC4c4611d1,18,20000000000000000,19996452455407478,35475445925220000000000
Mithril,MITH-C76,0x304aA6B8215eaF3EABB2149ffC842205676FCe36,18,98885506800409432,1153646652655884,977318601477535480000000000
Maker,MKR-F04,0x5f0Da599BB2ccCfcf6Fdfd7D81743B6020864350,18,600000000000,253596630909,2464045594910000000000
NEARProtocol,NEAR-4FD,0x1Fa4a73a3F0133f0025378af00236f3aBDEE5D63,18,205000000000000,135946085702916,1140544010810840000000000
NPX Binance token,NPXB-1E8,0xd8CB4C2369db13C94c90C7fD3bEbc9757900Ee6b,18,2980000000000000,801482221413206,21785177785867940000000000
Pundi X NEM,NPXSXEM-89C,0xFb1f2FeB4A48087D25FDF13Cc98272F3Efca0939,18,4474824475368000000,4287492600348475188,1873318750195248120000000000
ONTBEP2,ONT-33D,0xFd7B3A77848f1C2D67E05E54d78d174a0C850335,18,1500000000000000,761905925543817,7380940744561830019118335
Paxos Standard,PAX-F25,0xb7F8Cd00C5A06c0537E2aBfF0b58033d02e5E094,18,599906900000000,599834923797052,2001650786093783677649103
PAX Gold,PAXG-9B2,0x7950865a9140cB519342433146Ed5b40c6F210f7,18,25000000000,25000000000,50000000000000000000
Red Pulse Phoenix Binance,PHB-2DF,0xDff88A0A43271344B760b58a35076bf05524195c,18,337430775104531955,336286012948135686,11447621563962690000000000
Propel,PROPEL-6D9,0x9B44Df3318972bE845d83f961735609137C4C23c,18,800000000000000000,778438387143233335,215616128567666650000000000
Raven Protocol,RAVEN-F66,0xcD7C5025753a49f1881B31C48caA7C517Bb46308,18,1000000000000000000,894274023501629211,1057259764983707890000000000
Earneo,RNO-14E,0x92A0d359C87b8F3fe383AA0a42C19D1A2aFE6Be0,18,65000000000000000,46860928018339133,0
ShareToken,SHR-DB6,0x5fb4968fC85868DF3aD2d6e59883a10570f01D18,18,439600000000000000,41366558026555054,3982334419734449460000000000
SynthetixNetworkToken,SNX-C26,0x9Ac983826058b8a9C7Aa1C9171441191232E8404,18,80000000000000,53226499033131,467735009668690000000000
SPARTAN PROTOCOL TOKEN,SPARTA-7F3,0xE4Ae305ebE1AbE663f261Bc00534067C80ad677C,18,6343168584370838,6342105448829606,10631355412320000000000
SushiToken,SUSHI-134,0x947950BcC74888a40Ffa2593C5798F11Fc9124C4,18,400000000000000,298861196421323,11388035786770009430589
Swingby Token,SWINGBY-888,0x71DE20e0C4616E7fcBfDD3f875d568492cBE4739,18,88978809143231651,84005242955807990,159947570441920100000000000
Swipe,SXP-CCC,0x47BEAd2563dCBf3bF2c9407fEa4dC236fAbA485A,18,28536878800000000,28480304755375239,4911878446247610009414461
TokenClub,TCT-826,0xCA0a9Df6a8cAD800046C1DDc5755810718b65C44,18,1279111200000000,299107721328953,8922786710470000000000
Test token,TEST-825,0x39c0308fB2221Ff4c3485C2817fF126Bfb9726f6,18,10000600000000000,10000590400000000,96000000000000000000
Test PancakeSwap Token,TESTCAKE-951,0x5BF7CF80f53083cdcb5e651Ae367B4449826E0B9,18,20323510883054930,20323510883054930,0
Tokocrypto Token,TKO-DF1,0x9f589e3eabe42ebC94A44727b3f3531C0c877809,18,50000000000000000,49999989626405675,103735943250000000000
Trust Wallet,TWT-8C2,0x4B0F1812e5Df2A09796481Ff14017e6005508003,18,99942119548209999,25146650005083425,748533512334671724796535760
Uniswap Finance,UNFI-FB7,0xA7cA04F7602cD7A939d3E4827F442f48cF8E9daD,18,1000000000000000,868957826232673,1310421737673270000000000
Uniswap,UNI-DD8,0xBf5140A22578168FD562DCcF235E5D43A02ce9B1,18,300000000000000,151285812030017,1487142507988332193246798
USD Coin,USDC-CD2,0x8AC76a51cc950d9822D68b83fE1Ad97B32Cd580d,18,1400000000000000,1173599222096416,8264007780147050000048272
USDTBEP2,USDT-6D8,0x55d398326f99059fF775485246999027B3197955,18,8499978741230200,7142555200240674,8574894657300499152907347
Wrapped UST Token,UST-290,0x23396cF899Ca06c4472205fC903bDB4de249D6fC,18,3686524912122696,3685203116194320,13217959283760365444630
VAI Stablecoin,VAI-B2D,0x4BD17003473389A42DAF6a0a729f6Fdb328BbBd7,18,9885856091210938,9885856091210938,10571612
Wrapped Navcoin,WNAV-D49,0xBFEf6cCFC830D3BaCA4F6766a0d4AaA242Ca9F3D,8,589481159452729,589481059452729,100000000
XRP BEP2,XRP-BF2,0x1D2F0da169ceB9fC7B3144628dB156f3F6c60dBE,18,10080000000000000,2720124341367622,24798756586323780008860724
XTZ BEP2,XTZ-F7A,0x16939ef78684453bfDFb47825F8a5F714f12623a,18,400000000000000,188365171408999,2116515277048611781321114
Venus,XVS-795,0xcF6BB5389c92Bdda8a3747Ddb454cB7a64626C63,18,3000000000000000,2998776543953176,12234560468240000000000
yearnfinance,YFI-1A4,0x88f1A5ae2A3BF98AEAF342D26B30a79438c9142e,18,60000000000,30299166254,297008337460000000000
YFIIBEP2,YFII-061,0x7F70642d88cf1C4a3a7abb072B53B929b653edA5,18,125300000000,123332778139,766672218610000000000
ZECBEP2,ZEC-93E,0x1Ba42e5193dfA8B03D15dd1B86a3113bbBEF8Eeb,18,10000000000000,7567961461802,24320385381980000000000
Zilliqa,ZIL-BB2,0xb86AbCb37C3A4B64f74f59301AFF131a1BEcC787,12,10265458843671169,10264108668683933,13562564310728470
